root,x,y,z,length,forms,notes
دآب,9,1,3,3,2,"['1', '4']"
دآل,9,1,24,3,2,"['1', '3']"
دآو,9,1,28,3,1,['1']
دآى,9,1,29,3,1,['1']
دب,9,3,0,2,4,"['1', '2', '4', 'R.Q.1']"
دبج,9,3,6,3,2,"['1', '2']"
دبح,9,3,7,3,2,"['2', '7']"
دبخ,9,3,8,3,8,"['2', '1', '2', '3', '4', '5', '6', '10']"
دبس,9,3,13,3,3,"['4', '9', '11']"
دبغ,9,3,20,3,2,"['1', '7']"
دبق,9,3,22,3,4,"['1', '2', '4', '5']"
دبل,9,3,24,3,2,"['1', '2']"
دبو,9,3,28,3,3,"['1', '2', '4']"
دث,9,5,0,2,1,['1']
دثر,9,5,11,3,7,"['1', '2', '4', '5', '6', '7', '8']"
دج,9,6,0,2,5,"['1', '2', '5', 'R.Q.1', 'R.Q.2']"
دجر,9,6,11,3,1,['1']
دجل,9,6,24,3,2,"['1', '2']"
دجن,9,6,26,3,4,"['1', '3', '4', '12']"
دجو,9,6,28,3,5,"['1', '3', '4', '5', '12']"
دجى,9,6,29,3,1,['3']
دحر,9,7,11,3,1,['1']
دحرج,9,7,11,4,2,"(1) ['Q.1', 'Q.2']"
دحض,9,7,16,3,2,"['1', '4']"
دحق,9,7,22,3,3,"['1', '4', '7']"
دحل,9,7,24,3,3,"['1', '3', '4']"
دحو,9,7,28,3,5,"['1', '3', '5', '7', '9']"
دحى,9,7,29,3,4,"['1', '4', '5', '7']"
دخدر,9,8,9,4,1,['Q.1']
دخر,9,8,11,3,3,"['1', '4', '8']"
دخل,9,8,24,3,9,"['1', '2', '3', '4', '5', '6', '7', '8', '10']"
دخن,9,8,26,3,5,"['1', '2', '4', '5', '8']"
در,9,11,0,2,5,"['1', '4', '10', 'R.Q.1', 'R.Q.2']"
درآ,9,11,1,3,8,"['1', '2', '3', '4', '5', '6', '7', '8']"
درب,9,11,3,3,4,"['1', '2', '4', '5']"
درج,9,11,6,3,6,"['1', '2', '4', '5', '7', '10']"
درد,9,11,9,3,2,"['1', '4']"
درس,9,11,13,3,7,"['1', '2', '3', '4', '5', '6', '7']"
درع,9,11,19,3,6,"['1', '2', '4', '5', '8', 'Q.Q.2']"
درك,9,11,23,3,7,"['1', '2', '3', '4', '6', '8', '10']"
درن,9,11,26,3,2,"['1', '4']"
دره,9,11,27,3,3,"['1', '2', '5']"
درهم,9,11,27,4,2,"(1) ['Q.1', 'Q.4']"
درى,9,11,29,3,7,"['1', '2', '3', '4', '5', '7', '8']"
دس,9,13,0,2,3,"['1', '2', '7']"
دسر,9,13,11,3,1,['1']
دسع,9,13,19,3,1,['1']
دسم,9,13,25,3,4,"['1', '2', '4', '5']"
دع,9,19,0,2,1,['1']
دعب,9,19,3,3,4,"['1', '3', '5', '6']"
دعر,9,19,11,3,2,"['1', '5']"
دعك,9,19,23,3,3,"['1', '3', '6']"
دعم,9,19,25,3,2,"['1', '8']"
دعمص,9,19,25,4,1,(1) ['Q.1']
دعو,9,19,28,3,8,"['1', '3', '4', '5', '6', '7', '8', '10']"
دعى,9,19,29,3,1,['1']
دغر,9,20,11,3,1,['1']
دغل,9,20,24,3,2,"['1', '4']"
دغم,9,20,25,3,4,"['1', '4', '8', '11']"
دف,9,21,0,2,7,"['1', '2', '3', '4', '6', '10', 'R.Q.1']"
دفآ,9,21,1,3,6,"['1', '3', '4', '5', '8', '10']"
دفر,9,21,11,3,2,"['1', '4']"
دفع,9,21,19,3,7,"['1', '2', '3', '5', '6', '7', '10']"
دفق,9,21,22,3,6,"['1', '2', '4', '5', '7', '10']"
دفن,9,21,26,3,7,"['1', '2', '3', '5', '6', '7', '8']"
دفو,9,21,28,3,6,"['1', '3', '4', '6', '8', '10']"
دق,9,22,0,2,7,"['1', '2', '3', '4', '6', '7', '10']"
دقع,9,22,19,3,3,"['1', '4', 'Q.Q.1']"
دقل,9,22,24,3,1,['4']
دك,9,23,0,2,6,"['1', '2', '6', '7', 'R.Q.1', 'R.Q.2']"
دكن,9,23,26,3,3,"['1', '2', '8']"
دل,9,24,0,2,9,"['1', '2', '4', '5', '7', '8', '10', 'R.Q.1', 'R.Q.2']"
دلج,9,24,6,3,3,"['1', '4', '8']"
دلس,9,24,13,3,5,"['1', '2', '3', '5', '7']"
دلص,9,24,15,3,5,"['1', '2', '7', 'Q.Q.1', 'Q.Q.2']"
دلع,9,24,19,3,4,"['1', '4', '7', '8']"
دلف,9,24,21,3,4,"['1', '4', '5', '7']"
دلق,9,24,22,3,5,"['1', '4', '5', '7', '10']"
دلك,9,24,23,3,5,"['1', '2', '3', '5', '8']"
دلم,9,24,25,3,4,"['1', '9', '11', 'Q.Q.4']"
دله,9,24,27,3,3,"['1', '2', '5']"
دلهم,9,24,27,4,1,(1) ['Q.4']
دلو,9,24,28,3,6,"['1', '2', '3', '4', '5', '12']"
دلى,9,24,29,3,2,"['1', '3']"
دم,9,25,0,2,4,"['1', '2', '4', 'R.Q.1']"
دمث,9,25,5,3,3,"['1', '2', '4']"
دمج,9,25,6,3,8,"['1', '2', '3', '4', '5', '6', '7', '8']"
دمر,9,25,11,3,3,"['1', '2', '3']"
دمع,9,25,19,3,4,"['2', '4', '5', '10']"
دمغ,9,25,20,3,2,"['1', '2']"
دمل,9,25,24,3,8,"['1', '3', '4', '5', '6', '7', '8', 'Q.Q.1']"
دملج,9,25,24,4,1,(1) ['Q.1']
دملق,9,25,24,4,1,(2) ['Q.1']
دملك,9,25,24,4,2,"(3) ['Q.1', 'Q.2']"
دمن,9,25,26,3,5,"['1', '2', '4', '5', '7']"
دمو,9,25,28,3,4,"['1', '2', '4', '10']"
دن,9,26,0,2,4,"['1', '2', '4', 'R.Q.1']"
دنآ,9,26,1,3,3,"['1', '4', '5']"
دنر,9,26,11,3,2,"['2', '5']"
دنس,9,26,13,3,3,"['1', '2', '5']"
دنف,9,26,21,3,2,"['1', '4']"
دنق,9,26,22,3,2,"['1', '2']"
دنو,9,26,28,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
ده,9,27,0,2,2,"['R.Q.1', 'R.Q.2']"
دهدى,9,27,9,4,2,"['Q.1', 'Q.2']"
دهر,9,27,11,3,4,"['1', '3', 'Q.Q.1', 'Q.Q.2']"
دهش,9,27,14,3,3,"['1', '2', '4']"
دهقن,9,27,22,4,2,"['Q.1', 'Q.2']"
دهم,9,27,25,3,6,"['1', '2', '4', '5', '9', '11']"
دهن,9,27,26,3,7,"['1', '2', '3', '4', '5', '8', 'Q.Q.2']"
دهو,9,27,28,3,6,"['1', '2', '3', '4', '5', '6']"
دو,9,28,0,2,1,['2']
دوآ,9,28,1,3,2,"['1', '4']"
دوج,9,28,6,3,1,['1']
دوح,9,28,7,3,3,"['1', '2', '4']"
دوخ,9,28,8,3,3,"['1', '2', '4']"
دود,9,28,9,3,3,"['1', '2', '4']"
دورد,9,28,11,4,6,"['1', '2', '3', '4', '5', '10']"
دوس,9,28,13,3,3,"['1', '4', '7']"
دوف,9,28,21,3,2,"['1', '4']"
دوك,9,28,23,3,2,"['1', '6']"
دول,9,28,24,3,6,"['1', '2', '3', '4', '6', '7']"
دوم,9,28,25,3,7,"['1', '2', '3', '4', '5', '6', '10']"
دون,9,28,26,3,4,"['1', '2', '4', '5']"
دوى,9,28,29,3,6,"['1', '2', '3', '4', '6', '8']"
ديث,9,29,5,3,3,"['1', '2', '5']"
ديخ,9,29,8,3,1,['2']
ديد,9,29,9,3,1,['2']
دير,9,29,11,3,1,['5']
ديص,9,29,15,3,2,"['1', '7']"
ديف,9,29,21,3,1,['1']
ديم,9,29,25,3,2,"['1', '2']"
دين,9,29,26,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
ذآب,10,1,3,3,6,"['1', '2', '4', '5', '6', '10']"
ذآر,10,1,11,3,3,"['1', '3', '4']"
ذآف,10,1,21,3,2,"['1', '7']"
ذآل,10,1,24,3,2,"['1', '6']"
ذآم,10,1,25,3,2,"['1', '4']"
ذآن,10,1,26,3,3,"['1', 'R.Q.1', 'R.Q.2']"
ذالى,10,2,24,4,4,"['1', '4', '5', '12']"
ذب,10,3,0,2,4,"['1', '2', 'R.Q.1', 'R.Q.2']"
ذبح,10,3,7,3,4,"['1', '2', '6', '8']"
ذبر,10,3,11,3,2,"['1', '2']"
ذبل,10,3,24,3,3,"['1', '4', '5']"
ذخر,10,8,11,3,2,"['1', '8']"
ذر,10,11,0,2,3,"['1', '3', 'R.Q.1']"
ذرآ,10,11,1,3,2,"['1', '4']"
ذرب,10,11,3,3,3,"['1', '2', '4']"
ذرح,10,11,7,3,2,"['1', '2']"
ذرع,10,11,19,3,7,"['1', '2', '3', '4', '5', '8', '10']"
ذرف,10,11,21,3,3,"['1', '2', '10']"
ذرق,10,11,22,3,4,"['1', '4', '5', '8']"
ذرو,10,11,28,3,6,"['1', '2', '4', '5', '8', '10']"
ذعب,10,19,3,3,2,"['5', '7']"
ذعر,10,19,11,3,3,"['1', '4', '5']"
ذعف,10,19,21,3,3,"['1', '4', '7']"
ذعن,10,19,26,3,2,"['1', '4']"
ذف,10,21,0,2,6,"['1', '2', '3', '4', '10', 'R.Q.1']"
ذفر,10,21,11,3,2,"['1', '10']"
ذقن,10,22,26,3,4,"['1', '2', '3', '4']"
ذكر,10,23,11,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
ذكو,10,23,28,3,4,"['1', '2', '4', '10']"
ذل,10,24,0,2,6,"['1', '2', '4', '5', '10', 'R.Q.2']"
ذلف,10,24,21,3,1,['1']
ذلق,10,24,22,3,5,"['1', '2', '4', '7', '10']"
ذم,10,25,0,2,8,"['1', '2', '3', '4', '5', '6', '10', 'R.Q.1']"
ذمر,10,25,11,3,4,"['1', '2', '5', '6']"
ذمل,10,25,24,3,2,"['1', '2']"
ذمى,10,25,29,3,3,"['1', '4', '10']"
ذن,10,26,0,2,4,"['1', '2', '3', '4']"
ذنب,10,26,3,3,6,"['1', '2', '3', '4', '5', '10']"
ذهب,10,27,3,3,4,"['1', '2', '4', 'Q.Q.2']"
ذهل,10,27,24,3,2,"['1', '4']"
ذهن,10,27,26,3,4,"['1', '3', '4', '10']"
ذوب,10,28,3,3,4,"['1', '2', '4', '10']"
ذود,10,28,9,3,3,"['1', '2', '4']"
ذوف,10,28,21,3,1,['1']
ذوق,10,28,22,3,6,"['1', '2', '4', '5', '6', '10']"
ذول,10,28,24,3,1,['2']
ذون,10,28,26,3,1,['5']
ذوى,10,28,29,3,2,"['1', '4']"
ذيآ,10,29,1,3,2,"['2', '5']"
ذير,10,29,11,3,1,['2']
ذيع,10,29,19,3,2,"['1', '4']"
ذيل,10,29,24,3,5,"['1', '2', '4', '5', '6']"
ذيم,10,29,25,3,1,['1']
ذين,10,29,26,3,1,['1']
رآ,11,1,0,2,1,['R.Q.1']
رآب,11,1,3,3,2,"['1', '2']"
رآبل,11,1,3,4,2,"(1) ['Q.1', 'Q.2']"
رآد,11,1,9,3,4,"['1', '5', '6', '8']"
رآس,11,1,13,3,4,"['1', '2', '5', '8']"
رآف,11,1,21,3,1,['1']
رآل,11,1,24,3,1,['10']
رآم,11,1,25,3,5,"['1', '3', '4', '5', '8']"
رآو,11,1,28,3,1,['4']
رآى,11,1,29,3,8,"['2', '3', '4', '5', '6', '8', '10', 'Q.Q.2']"
رب,11,3,0,2,7,"['1', '2', '4', '5', '6', '8', 'R.Q.1']"
ربآ,11,3,1,3,5,"['1', '2', '3', '4', '8']"
ربت,11,3,4,3,3,"['1', '2', '5']"
ربث,11,3,5,3,7,"['1', '2', '5', '8', '9', '11', 'Q.Q.4']"
ربح,11,3,7,3,5,"['1', '2', '3', '4', '5']"
ربد,11,3,9,3,6,"['1', '2', '4', '5', '9', '11']"
ربذ,11,3,10,3,1,['1']
ربص,11,3,15,3,2,"['1', '5']"
ربض,11,3,16,3,3,"['1', '2', '4']"
ربط,11,3,17,3,4,"['1', '3', '6', '8']"
ربع,11,3,19,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
ربق,11,3,22,3,4,"['1', '2', '5', '8']"
ربك,11,3,23,3,3,"['1', '8', '11']"
ربل,11,3,24,3,5,"['1', '4', '5', '8', 'Q.Q.2']"
ربو,11,3,28,3,5,"['1', '2', '3', '4', '5']"
ربى,11,3,29,3,1,['1']
رت,11,4,0,2,3,"['1', '4', 'R.Q.1']"
رتب,11,4,3,3,4,"['1', '2', '4', '5']"
رتج,11,4,6,3,4,"['1', '4', '8', '10']"
رتع,11,4,19,3,2,"['1', '4']"
رتق,11,4,22,3,2,"['1', '8']"
رتك,11,4,23,3,2,"['1', '4']"
رتل,11,4,24,3,3,"['1', '2', '5']"
رتم,11,4,25,3,4,"['1', '4', '5', '8']"
رث,11,5,0,2,3,"['1', '4', '8']"
رثآ,11,5,1,3,3,"['1', '4', '8']"
رثد,11,5,9,3,3,"['1', '4', '8']"
رثم,11,5,25,3,2,"['1', '9']"
رثو,11,5,28,3,1,['1']
رثى,11,5,29,3,4,"['1', '2', '5', '8']"
رج,11,6,0,2,5,"['1', '4', '8', 'R.Q.1', 'R.Q.2']"
رجآ,11,6,1,3,1,['4']
رجب,11,6,3,3,4,"['1', '2', '4', '8']"
رجح,11,6,7,3,7,"['1', '2', '3', '4', '5', '8', '10']"
رجحن,11,6,7,4,1,(1) ['Q.4']
رجز,11,6,12,3,7,"['1', '2', '3', '4', '5', '6', '8']"
رجس,11,6,13,3,3,"['1', '4', '8']"
رجع,11,6,19,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
رجعن,11,6,19,4,1,(1) ['Q.4']
رجف,11,6,21,3,3,"['1', '4', '8']"
رجل,11,6,24,3,6,"['1', '2', '4', '5', '8', '10']"
رجم,11,6,25,3,7,"['1', '2', '3', '6', '8', '10', 'Q.Q.1']"
رجن,11,6,26,3,4,"['1', '2', '4', '8']"
رجو,11,6,28,3,5,"['1', '2', '4', '5', '8']"
رجى,11,6,29,3,1,['1']
رح,11,7,0,2,3,"['1', 'R.Q.1', 'R.Q.2']"
رحب,11,7,3,3,5,"['1', '2', '4', '6', 'Q.Q.1']"
رحض,11,7,16,3,3,"['1', '4', '8']"
رحل,11,7,24,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
رحم,11,7,25,3,5,"['1', '2', '5', '6', '10']"
رحو,11,7,28,3,2,"['1', '5']"
رخ,11,8,0,2,3,"['1', '4', '8']"
رخص,11,8,15,3,6,"['1', '2', '4', '5', '8', '10']"
رخم,11,8,25,3,4,"['1', '2', '4', '8']"
رخو,11,8,28,3,6,"['1', '2', '3', '4', '6', '10']"
رد,11,9,0,2,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
ردآ,11,9,1,3,4,"['1', '2', '4', '5']"
ردج,11,9,6,3,1,['1']
ردح,11,9,7,3,3,"['1', '2', '4']"
ردس,11,9,13,3,3,"['1', '3', '5']"
ردع,11,9,19,3,3,"['1', '6', '8']"
ردغ,11,9,20,3,4,"['1', '3', '4', '8']"
ردف,11,9,21,3,7,"['1', '2', '3', '4', '6', '8', '10']"
ردم,11,9,25,3,5,"['1', '2', '4', '5', '8']"
ردن,11,9,26,3,5,"['1', '2', '4', '8', 'Q.Q.1']"
ردو,11,9,28,3,2,"['1', '3']"
ردى,11,9,29,3,6,"['1', '2', '3', '4', '5', '8']"
رذ,11,10,0,2,2,"['1', '4']"
رذل,11,10,24,3,3,"['1', '4', '10']"
رز,11,12,0,2,5,"['1', '2', 'R.Q.1', '4', '8']"
رزآ,11,12,1,3,4,"['1', '4', '6', '8']"
رزب,11,12,3,3,1,['1']
رزح,11,12,7,3,4,"['1', '2', '4', '6']"
رزغ,11,12,20,3,2,"['3', '4']"
رزق,11,12,22,3,3,"['1', '8', '10']"
رزم,11,12,25,3,4,"['1', '2', '3', '4']"
رزن,11,12,26,3,4,"['1', '2', '5', '6']"
رزى,11,12,29,3,2,"['1', '4']"
رس,11,13,0,2,2,"['1', '4']"
رسب,11,13,3,3,4,"['1', '2', '4', '5']"
رسح,11,13,7,3,2,"['1', '4']"
رسخ,11,13,8,3,2,"['1', '4']"
رسغ,11,13,20,3,5,"['1', '2', '3', '4', '8']"
رسف,11,13,21,3,4,"['1', '4', '8', 'R.Q.4']"
رسل,11,13,24,3,7,"['1', '2', '3', '4', '5', '6', '10']"
رسم,11,13,25,3,5,"['1', '2', '4', '5', '8']"
رسن,11,13,26,3,2,"['1', '4']"
رسو,11,13,28,3,4,"['1', '3', '4', '5']"
رش,11,14,0,2,5,"['1', '2', '4', '5', 'R.Q.2']"
رشآ,11,14,1,3,1,['1']
رشح,11,14,7,3,5,"['1', '2', '4', '5', '10']"
رشد,11,14,9,3,4,"['1', '2', '4', '10']"
رشف,11,14,21,3,5,"['1', '2', '4', '5', '8']"
رشق,11,14,22,3,4,"['1', '3', '4', '5']"
رشم,11,14,25,3,4,"['1', '2', '4', '8']"
رشن,11,14,26,3,1,['1']
رشو,11,14,28,3,6,"['1', '3', '4', '5', '8', '10']"
رص,11,15,0,2,6,"['1', '2', '5', '6', '8', 'R.Q.1']"
رصد,11,15,9,3,5,"['1', '3', '4', '5', '8']"
رصع,11,15,19,3,3,"['1', '2', '8']"
رصف,11,15,21,3,6,"['1', '2', '4', '5', '6', '8']"
رصن,11,15,26,3,3,"['1', '2', '4']"
رض,11,16,0,2,6,"['1', '4', '5', '8', 'R.Q.1', 'R.Q.2']"
رضب,11,16,3,3,3,"['1', '4', '5']"
رضح,11,16,7,3,3,"['1', '5', '8']"
رضخ,11,16,8,3,7,"['1', '2', '3', '4', '5', '6', '8']"
رضع,11,16,19,3,6,"['1', '3', '4', '6', '8', '10']"
رضف,11,16,21,3,1,['1']
رضو,11,16,28,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
رطب,11,17,3,3,4,"['1', '2', '4', '5']"
رطل,11,17,24,3,4,"['1', '2', '3', '4']"
رطم,11,17,25,3,5,"['1', '4', '5', '6', '8']"
رطن,11,17,26,3,3,"['1', '3', '6']"
رطى,11,17,29,3,1,['4']
رع,11,19,0,2,3,"['1', 'R.Q.1', 'R.Q.2']"
رعب,11,19,3,3,4,"['1', '2', '4', '8']"
رعث,11,19,5,3,3,"['1', '5', '8']"
رعد,11,19,9,3,6,"['1', '4', '5', '8', 'R.Q.1', 'R.Q.2']"
رعش,11,19,14,3,4,"['1', '2', '4', '8']"
رعظ,11,19,18,3,2,"['1', '4']"
رعف,11,19,21,3,3,"['1', '4', '8']"
رعف,11,19,21,3,5,"(1) ['1', '2', '4', '8', '10']"
رعن,11,19,26,3,2,"['1', '4']"
رعو,11,19,28,3,2,"['1', '9']"
رعى,11,19,29,3,7,"['1', '2', '3', '4', '5', '8', '10']"
رغب,11,20,3,3,6,"['1', '2', '3', '4', '6', '8']"
رغث,11,20,5,3,3,"['1', '4', '8']"
رغد,11,20,9,3,5,"['1', '4', '10', '11', 'Q.Q.3']"
رغس,11,20,13,3,2,"['1', '4']"
رغف,11,20,21,3,2,"['1', '4']"
رغم,11,20,25,3,5,"['1', '2', '3', '4', '5']"
رغو,11,20,28,3,5,"['1', '2', '4', '6', '8']"
رف,11,21,0,2,4,"['1', '4', '8', 'R.Q.1']"
رفآ,11,21,1,3,5,"['1', '2', '3', '4', '6']"
رفت,11,21,4,3,3,"['1', '2', '9']"
رفث,11,21,5,3,5,"['1', '3', '4', '5', '6']"
رفد,11,21,9,3,7,"['1', '2', '3', '4', '6', '8', '10']"
رفس,11,21,13,3,1,['1']
رفض,11,21,16,3,6,"['1', '2', '4', '5', '9', '10']"
رفع,11,21,19,3,7,"['1', '2', '3', '5', '6', '8', '10']"
رفغ,11,21,20,3,2,"['1', '5']"
رفق,11,21,22,3,9,"['1', '2', '3', '4', '5', '6', '8', '10', 'Q.Q.2']"
رفل,11,21,24,3,5,"['1', '2', '4', '5', 'Q.Q.1']"
رفه,11,21,27,3,5,"['1', '2', '4', '5', '10']"
رفو,11,21,28,3,1,['1']
رفو,11,21,28,3,5,"(1) ['1', '2', '3', '4', '6']"
رفى,11,21,29,3,1,['1']
رق,11,22,0,2,8,"['1', '2', '4', '5', '6', '10', 'R.Q.1', 'R.Q.2']"
رقآ,11,22,1,3,2,"['1', '4']"
رقب,11,22,3,3,6,"['1', '2', '3', '4', '5', '8']"
رقح,11,22,7,3,2,"['2', '5']"
رقد,11,22,9,3,6,"['1', '2', '4', '6', '9', '10']"
رقس,11,22,13,3,4,"['1', '2', '5', '8']"
رقص,11,22,15,3,4,"['1', '2', '4', '5']"
رقط,11,22,17,3,4,"['2', '5', '9', '11']"
رقع,11,22,19,3,5,"['1', '2', '4', '5', '10']"
رقل,11,22,24,3,2,"['1', '4']"
رقم,11,22,25,3,2,"['1', '2']"
رقى,11,22,29,3,6,"['1', '2', '5', '6', '8', '10']"
رك,11,23,0,2,7,"['1', '2', '4', '8', '10', 'R.Q.1', 'R.Q.2']"
ركب,11,23,3,3,7,"['1', '2', '4', '5', '6', '8', '10']"
ركد,11,23,9,3,3,"['1', '4', '6']"
ركز,11,23,12,3,4,"['1', '2', '4', '8']"
ركس,11,23,13,3,3,"['1', '4', '8']"
ركض,11,23,16,3,5,"['1', '3', '4', '6', '8']"
ركع,11,23,19,3,2,"['1', '5']"
ركل,11,23,24,3,5,"['1', '2', '3', '5', '6']"
ركم,11,23,25,3,3,"['1', '6', '8']"
ركن,11,23,26,3,4,"['1', '2', '4', '5']"
ركو,11,23,28,3,2,"['1', '4']"
رم,11,25,0,2,8,"['1', '2', '4', '5', '8', '10', 'R.Q.1', 'R.Q.2']"
رمث,11,25,5,3,4,"['1', '2', '4', '10']"
رمح,11,25,7,3,3,"['1', '3', '6']"
رمد,11,25,9,3,5,"['1', '2', '4', '9', 'Q.Q.4']"
رمز,11,25,12,3,3,"['1', '5', '6']"
رمس,11,25,13,3,3,"['1', '4', '8']"
رمص,11,25,15,3,2,"['1', '4']"
رمض,11,25,16,3,5,"['1', '2', '4', '5', '8']"
رمق,11,25,22,3,7,"['1', '2', '3', '4', '5', '9', '11']"
رمك,11,25,23,3,4,"['1', '4', '9', '10']"
رمل,11,25,24,3,5,"['1', '2', '4', '5', '8']"
رمى,11,25,29,3,6,"['1', '3', '4', '5', '6', '8']"
رن,11,26,0,2,3,"['1', '2', '4']"
رنح,11,26,7,3,3,"['2', '5', '8']"
رنق,11,26,22,3,4,"['1', '2', '4', '5']"
رنم,11,26,25,3,3,"['1', '2', '5']"
رنو,11,26,28,3,7,"['1', '2', '3', '4', '5', '6', '10']"
رهب,11,27,3,3,5,"['1', '2', '4', '5', '10']"
رهج,11,27,6,3,1,['4']
رهدن,11,27,9,4,1,['Q.1']
رهط,11,27,17,3,2,"['1', '8']"
رهف,11,27,21,3,2,"['1', '4']"
رهق,11,27,22,3,4,"['1', '2', '3', '4']"
رهل,11,27,24,3,3,"['1', '2', '5']"
رهم,11,27,25,3,2,"['1', '4']"
رهن,11,27,26,3,6,"['1', '3', '4', '6', '8', '10']"
رهو,11,27,28,3,5,"['1', '3', '4', '6', '9']"
روآ,11,28,1,3,2,"['2', '4']"
روب,11,28,3,3,3,"['1', '2', '4']"
روث,11,28,5,3,1,['1']
روج,11,28,6,3,3,"['1', '2', '5']"
روح,11,28,7,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
رود,11,28,9,3,6,"['1', '3', '4', '5', '8', '10']"
روس,11,28,13,3,2,"['2', '8']"
روض,11,28,16,3,7,"['1', '2', '3', '4', '6', '8', '10']"
روع,11,28,19,3,4,"['1', '2', '5', '8']"
روغ,11,28,20,3,7,"['1', '2', '3', '4', '5', '6', '8']"
روف,11,28,21,3,2,"['1', '3']"
روق,11,28,22,3,5,"['1', '2', '4', '5', '6']"
رول,11,28,24,3,1,['2']
روم,11,28,25,3,3,"['1', '2', '5']"
رون,11,28,26,3,1,['1']
روى,11,28,29,3,5,"['1', '2', '4', '5', '8']"
رى,11,29,0,2,5,"['1', '2', '4', '8', '10']"
ريآ,11,29,1,3,3,"['1', '2', '3']"
ريب,11,29,3,3,5,"['1', '4', '5', '8', '10']"
ريث,11,29,5,3,5,"['1', '2', '4', '5', '10']"
ريد,11,29,9,3,1,['2']
رير,11,29,11,3,2,"['1', '4']"
ريش,11,29,14,3,4,"['1', '2', '5', '8']"
ريع,11,29,19,3,5,"['1', '2', '4', '5', '10']"
ريغ,11,29,20,3,2,"['2', '5']"
ريف,11,29,21,3,4,"['1', '3', '4', '5']"
ريق,11,29,22,3,5,"['1', '2', '4', '5', '6']"
ريل,11,29,24,3,1,['1']
ريم,11,29,25,3,2,"['1', '2']"
رين,11,29,26,3,2,"['1', '4']"
ريه,11,29,27,3,3,"['1', '2', '5']"
زآبق,12,1,3,4,1,['Q.1']
زآر,12,1,11,3,3,"['1', '4', '5']"
زب,12,3,0,2,6,"['1', '2', '4', '5', '8', 'R.Q.1']"
زبد,12,3,9,3,5,"['1', '2', '3', '4', '5']"
زبر,12,3,11,3,6,"['1', '2', '4', '5', 'Q.Q.1', 'Q.Q.4']"
زبرج,12,3,11,4,1,(1) ['Q.1']
زبق,12,3,22,3,4,"['1', '2', '5', '7']"
زبل,12,3,24,3,3,"['1', '2', '8']"
زبن,12,3,26,3,7,"['1', '3', '4', '5', '6', '7', '10']"
زبى,12,3,29,3,6,"['1', '2', '4', '5', '6', '8']"
زج,12,6,0,2,4,"['1', '2', '4', '8']"
زجر,12,6,11,3,5,"['1', '6', '7', '8', 'Q.Q.1']"
زجل,12,6,24,3,1,['1']
زجو,12,6,28,3,5,"['1', '2', '4', '5', '8']"
زح,12,7,0,2,3,"['1', 'R.Q.1', 'R.Q.2']"
زحر,12,7,11,3,4,"['1', '2', '3', '5']"
زحف,12,7,21,3,7,"['1', '2', '3', '4', '5', '6', '8']"
زحل,12,7,24,3,6,"['1', '2', '4', '5', 'Q.Q.1', 'Q.Q.2']"
زحلف,12,7,24,4,3,"(1) ['Q.1', 'Q.2', 'Q.4']"
زحلق,12,7,24,4,2,"(2) ['Q.1', 'Q.2']"
زحم,12,7,25,3,3,"['1', '6', '8']"
زخ,12,8,0,2,2,"['1', 'R.Q.1']"
زخر,12,8,11,3,4,"['1', '3', '5', 'Q.Q.2']"
زخرف,12,8,11,4,2,"(1) ['Q.1', 'Q.2']"
زر,12,11,0,2,7,"['1', '2', '3', '4', '5', 'R.Q.1', 'R.Q.2']"
زرب,12,11,3,3,3,"['1', '7', '9']"
زرجن,12,11,6,4,1,['Q.1']
زرد,12,11,9,3,4,"['1', '2', '5', '8']"
زردم,12,11,9,4,1,(1) ['Q.1']
زرع,12,11,19,3,6,"['1', '3', '4', '5', '8', '10']"
زرفن,12,11,21,4,1,['Q.1']
زرق,12,11,22,3,7,"['1', '2', '4', '7', '9', '11', 'Q.Q.2']"
زرم,12,11,25,3,5,"['1', '2', '4', '8', 'Q.Q.4']"
زرنق,12,11,26,4,2,"['Q.1', 'Q.2']"
زرى,12,11,29,3,5,"['1', '4', '5', '8', '10']"
زع,12,19,0,2,2,"['R.Q.1', 'R.Q.2']"
زعب,12,19,3,3,4,"['1', '5', '8', 'Q.Q.4']"
زعج,12,19,6,3,4,"['1', '4', '7', '8']"
زعر,12,19,11,3,3,"['1', '9', '11']"
زعفر,12,19,21,4,1,['Q.1']
زعق,12,19,22,3,3,"['1', '4', '7']"
زعل,12,19,24,3,3,"['1', '4', '5']"
زعم,12,19,25,3,5,"['1', '3', '4', '5', '6']"
زغب,12,20,3,3,7,"['1', '2', '4', '8', '9', '11', 'Q.Q.4']"
زغبر,12,20,3,4,1,(1) ['Q.1']
زغرد,12,20,11,4,1,['Q.1']
زغل,12,20,24,3,2,"['1', '4']"
زف,12,21,0,2,6,"['1', '4', '8', '10', 'R.Q.1', 'R.Q.1']"
زفت,12,21,4,3,1,['2']
