root,x,y,z,length,forms,notes
بش,3,14,0,2,4,"['1', '4', '5', 'R.Q.2']"
بشر,3,14,11,3,7,"['1', '2', '3', '4', '5', '6', '10']"
بشع,3,14,19,3,3,"['1', '4', '10']"
بشم,3,14,25,3,2,"['1', '4']"
بص,3,15,0,2,3,"['2', 'R.Q.1', 'R.Q.2']"
بصر,3,15,11,3,7,"['1', '2', '3', '4', '5', '6', '10']"
بصط,3,15,17,3,1,['1']
بصع,3,15,19,3,1,['1']
بصق,3,15,22,3,2,"['1', '4']"
بصل,3,15,24,3,2,"['2', '5']"
بض,3,16,0,2,4,"['1', '4', '5', '10']"
بضع,3,16,19,3,7,"['1', '2', '3', '4', '7', '8', '10']"
بط,3,17,0,2,4,"['1', '2', '4', 'R.Q.1']"
بطآ,3,17,1,3,5,"['1', '2', '4', '6', '10']"
بطح,3,17,7,3,6,"['1', '2', '4', '5', '7', '10']"
بطخ,3,17,8,3,2,"['4', '5']"
بطر,3,17,11,3,3,"['1', '4', 'Q.Q.1']"
بطش,3,17,14,3,4,"['1', '3', '4', '5']"
بطل,3,17,24,3,4,"['1', '2', '4', '5']"
بطن,3,17,26,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
بطو,3,17,28,3,2,"['1', '4']"
بظر,3,18,11,3,2,"['1', '2']"
بعث,3,19,5,3,5,"['1', '5', '6', '7', '8']"
بعثر,3,19,5,4,1,(1) ['Q.1']
بعج,3,19,6,3,4,"['1', '2', '5', '7']"
بعد,3,19,9,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
بعر,3,19,11,3,4,"['1', '2', '3', '4']"
بعض,3,19,16,3,4,"['1', '2', '4', '5']"
بعق,3,19,22,3,5,"['1', '2', '5', '7', '8']"
بعل,3,19,24,3,6,"['1', '3', '5', '6', '8', '10']"
بغت,3,20,4,3,2,"['1', '3']"
بغث,3,20,5,3,1,['1']
بغش,3,20,14,3,1,['1']
بغض,3,20,16,3,6,"['1', '2', '3', '4', '5', '6']"
بغل,3,20,24,3,3,"['1', '2', '5']"
بغم,3,20,25,3,4,"['1', '3', '5', '6']"
بغو,3,20,28,3,1,['1']
بغى,3,20,29,3,8,"['1', '3', '4', '5', '6', '7', '8', '10']"
بق,3,22,0,2,5,"['1', '2', '4', '7', 'R.Q.1']"
بقر,3,22,11,3,7,"['1', '2', '5', '7', '8', 'Q.Q.1', 'Q.Q.2']"
بقع,3,22,19,3,4,"['1', '2', '7', '8']"
بقل,3,22,24,3,5,"['1', '2', '4', '5', '8']"
بقو,3,22,28,3,1,['1']
بقى,3,22,29,3,6,"['1', '2', '4', '5', '6', '10']"
بكآ,3,23,1,3,2,"['1', '4']"
بكت,3,23,4,3,2,"['1', '2']"
بكر,3,23,11,3,6,"['1', '2', '3', '4', '5', '8']"
بكم,3,23,25,3,2,"['1', '5']"
بكى,3,23,29,3,6,"['1', '2', '3', '4', '6', '10']"
بل,3,24,0,2,8,"['1', '2', '4', '5', '8', '10', 'R.Q.1', 'R.Q.2']"
بلج,3,24,6,3,8,"['1', '4', '5', '7', '8', '9', '11', '12']"
بلح,3,24,7,3,1,['4']
بلد,3,24,9,3,5,"['1', '2', '3', '4', '5']"
بلس,3,24,13,3,1,['4']
بلط,3,24,17,3,5,"['1', '2', '3', '4', '6']"
بلع,3,24,19,3,6,"['1', '2', '4', '5', '8', 'Q.Q.1']"
بلغ,3,24,20,3,6,"['1', '2', '3', '4', '5', '6']"
بلق,3,24,22,3,6,"['1', '4', '7', '9', '11', '12']"
بلقع,3,24,22,4,2,"(1) ['Q.1', 'Q.3']"
بله,3,24,27,3,6,"['1', '3', '4', '5', '6', '8']"
بلو,3,24,28,3,8,"['1', '2', '3', '4', '5', '6', '8', '12']"
بلى,3,24,29,3,2,"['1', '4']"
بن,3,26,0,2,4,"['1', '2', '4', '5']"
بنج,3,26,6,3,1,['2']
بندق,3,26,9,4,1,['Q.1']
بنق,3,26,22,3,2,"['1', '2']"
بنو,3,26,28,3,1,['1']
بنى,3,26,29,3,5,"['1', '2', '4', '5', '8']"
بهآ,3,27,1,3,2,"['1', '8']"
بهت,3,27,4,3,4,"['1', '2', '3', '6']"
بهج,3,27,6,3,7,"['1', '2', '3', '4', '6', '8', '10']"
بهر,3,27,11,3,7,"['1', '3', '4', '5', '7', '8', '11']"
بهرج,3,27,11,4,2,"(1) ['Q.1', 'Q.2']"
بهظ,3,27,18,3,1,['1']
بهق,3,27,22,3,1,['1']
بهل,3,27,24,3,7,"['1', '3', '4', '5', '6', '8', '10']"
